20220331	23:52:48	667024c5-b6ac-4e20-93ea-e25f51328b0c	/old	GET
20220331	23:55:48	cacafcbe-0fa6-42a4-8202-c8a887b9c9d6	/old	GET
20220331	23:55:48	8613b545-c019-438d-8b80-52b8373a4e92	Error: ENOENT: no such file or directory, open 'C:\Users\frame\OneDrive\Desktop\nenyoswebsite\backend\views\404.html'
20220331	23:56:58	23ce7aef-6a2c-48ec-8c76-766f9766a700	/	GET
20220331	23:56:58	4757c97f-88a2-4d25-b44a-238153c1d3c9	Error: ENOENT: no such file or directory, open 'C:\Users\frame\OneDrive\Desktop\nenyoswebsite\backend\views\404.html'
20220331	23:57:04	7a37fbfd-a658-4e2b-8c1b-058569800bcb	/	GET
20220331	23:57:04	1b988cb7-ae2f-4cf0-a5f7-a5a553e6600d	Error: ENOENT: no such file or directory, open 'C:\Users\frame\OneDrive\Desktop\nenyoswebsite\backend\views\404.html'
20220401	00:00:24	5deec46e-7560-4d85-bff4-8b503f9af608	/	GET
20220401	00:00:25	f44fcd11-245f-4b4d-bfe7-59c13686c326	/favicon.ico	GET
20220401	00:00:34	c25f9921-bc12-4d5e-b2e1-226e621dde93	/old	GET
20220401	00:02:22	ccbd1b25-c4eb-4434-8843-28ba35f78273	/old	GET
20220401	00:02:22	703d2455-6594-4f6c-b96c-9614d294f31e	/css/style.css	GET
20220401	00:02:26	2dd1d80f-5fd3-471a-abe8-c91eb3ffab83	/	GET
20220401	00:02:26	43338285-a396-47cb-b1a8-3095256b8be1	/css/style.css	GET
20220401	09:35:16	7421524a-665f-445b-a752-28b6df755e65	GET	undefined	/index
20220401	09:35:16	5906713b-5fa5-43ff-bfe2-64cc66855395	GET	undefined	/public/css/style.css
20220401	09:57:50	b901ee19-e558-4c24-a40f-e6637797ae21	GET	undefined	/public/css/style.css
20220401	09:57:54	26127adc-998f-4de9-aa1e-0427bf9a134a	GET	undefined	/subdir
20220401	09:58:54	f06204e9-faed-4733-9ca9-b5b5445c6729	GET	undefined	/subdir
20220401	09:59:00	70aef638-59b8-428f-98bc-8dc01fb84715	GET	undefined	/subdir/test
20220401	10:09:10	c804e1cd-4caa-4108-945e-e5fb329f7b0b	GET	undefined	/subdir/test
20220401	10:09:40	257c0d39-59e1-4319-85f9-a2f22380748e	GET	undefined	/subdir/test
20220401	10:09:45	5cdeb00c-5a0e-451d-8dc0-7d84823d1195	GET	undefined	/subdir
20220401	10:09:45	d34b32d9-f258-403c-9a8e-3d124f4b9535	GET	undefined	/subdir/
20220401	10:10:16	0499e1a8-15d0-41cd-9a6c-914a0e3a37fb	GET	undefined	/subdir/Ben
20220401	10:10:16	deaf44c5-e993-4b28-b776-bfe6f09378c8	GET	undefined	/public/css/style.css
20220401	10:15:21	86256529-39fe-4d83-81d7-8b4eee8c3acd	GET	undefined	/subdir/
20220401	10:15:21	87352f10-9c62-4046-a6b2-b2e0eca01481	GET	undefined	/public/css/style.css
20220402	09:43:42	be4d3a6c-aa57-45d0-a8ab-c6c38974457a	GET	undefined	/users
20220402	09:43:48	859bdc0c-2bcc-4a8a-b5cf-6700050119c8	GET	undefined	/orchids
20220402	09:44:07	b298fb9d-6a70-4a29-bb15-312434f35ac6	GET	undefined	/orchids/:2
20220402	16:45:23	45e6f1ca-c586-4f51-8dc5-d5813e5979f8	GET	undefined	/
20220402	16:45:24	dbb84a91-4ab2-4562-a2b5-549bb088a6d2	Error: ENOENT: no such file or directory, stat 'C:\Users\frame\OneDrive\Desktop\nenyoswebsite\backend\routes\views\index.html'
20220402	16:45:25	fe12d41d-e2e1-43f2-87da-e5f0f0a71bb7	GET	undefined	/favicon.ico
20220402	17:30:37	8db9f210-a37b-4762-be35-548b78c54ca1	GET	undefined	/register
20220402	17:30:42	d9a3c096-e0d8-4904-8b0f-054674df49cb	GET	undefined	/register
20220402	17:31:31	9a117263-91db-4a15-863a-6755747520f9	POST	undefined	/register
20220402	17:34:33	0a64c83a-4bce-40ea-b23d-631e32c616db	POST	undefined	/register
20220402	17:34:52	86642537-0447-4ff3-91af-9f06dba91e5c	POST	undefined	/register
